Artist,Title,Label,Path,choruspath
The Weeknd,Blinding Lights,1,Songs/The Weeknd - Blinding Lights (Official Video).mp3,Songs/RepeatedPopularChorus/The Weeknd - Blinding Lights (Official Video).wav
Olivia Rodrigo,Good 4 U,1,Songs/Olivia Rodrigo - good 4 u (Official Video).mp3,Songs/RepeatedPopularChorus/Olivia Rodrigo - good 4 u (Official Video).wav
Olivia Rodrigo,Drivers License,1,Songs/Olivia Rodrigo - drivers license (Official Video).mp3,Songs/RepeatedPopularChorus/Olivia Rodrigo - drivers license (Official Video).wav
Lil Nas X,Montero (Call Me By Your Name),1,Songs/Lil Nas X - MONTERO (Call Me By Your Name) (Official Video).mp3,Songs/RepeatedPopularChorus/Lil Nas X - MONTERO (Call Me By Your Name) (Official Video).wav
BTS,Butter,1,Songs/BTS (방탄소년단) 'Butter' Official MV.mp3,Songs/RepeatedPopularChorus/BTS (방탄소년단) 'Butter' Official MV.wav
Olivia Rodrigo,Deja Vu,1,Songs/Olivia Rodrigo - deja vu (Official Video).mp3,Songs/RepeatedPopularChorus/Olivia Rodrigo - deja vu (Official Video).wav
Ariana Grande,Positions,1,Songs/Ariana Grande - positions (official video).mp3,Songs/RepeatedPopularChorus/Ariana Grande - positions (official video).wav
Ed Sheeran,Bad Habits,1,Songs/Ed Sheeran - Bad Habits (Lyrics).mp3,Songs/RepeatedPopularChorus/Ed Sheeran - Bad Habits (Lyrics).wav
Luke Combs,Forever After All,1,Songs/Luke Combs - Forever After All (Official Video).mp3,Songs/RepeatedPopularChorus/Luke Combs - Forever After All (Official Video).wav
Pop Smoke,What You Know Bout Love,1,Songs/POP SMOKE - WHAT YOU KNOW BOUT LOVE (Official Video).mp3,Songs/RepeatedPopularChorus/POP SMOKE - WHAT YOU KNOW BOUT LOVE (Official Video).wav
Billie Eilish,Therefore I Am,1,Songs/Billie Eilish - Therefore I Am (Official Music Video).mp3,Songs/RepeatedPopularChorus/Billie Eilish - Therefore I Am (Official Music Video).wav
Cardi B,Up,1,Songs/INNA - Up.mp3,Songs/RepeatedPopularChorus/INNA - Up.wav
Olivia Rodrigo,Traitor,1,Songs/Olivia Rodrigo - traitor (Lyrics).mp3,Songs/RepeatedPopularChorus/Olivia Rodrigo - traitor (Lyrics).wav
BTS,Dynamite,1,Songs/BTS (방탄소년단) 'Dynamite' Official MV.mp3,Songs/RepeatedPopularChorus/BTS (방탄소년단) 'Dynamite' Official MV.wav
Doja Cat,Need To Know,1,Songs/Doja Cat - Need To Know (Lyrics).mp3,Songs/RepeatedPopularChorus/Doja Cat - Need To Know (Lyrics).wav
Taylor Swift,Willow,1,Songs/Taylor Swift - willow (Official Music Video).mp3,Songs/RepeatedPopularChorus/Taylor Swift - willow (Official Music Video).wav
Luke Combs,Better Together,1,Songs/Luke Combs - Better Together (Lyrics).mp3,Songs/RepeatedPopularChorus/Luke Combs - Better Together (Lyrics).wav
Doja Cat,Streets,1,Songs/Doja Cat - Streets (Audio).mp3,Songs/RepeatedPopularChorus/Doja Cat - Streets (Audio).wav
Drake,What's Next,1,Songs/Drake - What's Next (Official Music Video).mp3,Songs/RepeatedPopularChorus/Drake - What's Next (Official Music Video).wav
Justin Bieber,Anyone,1,Songs/Justin Bieber - Anyone.mp3,Songs/RepeatedPopularChorus/Justin Bieber - Anyone.wav
Ariana Grande,pov,1,Songs/Ariana Grande - pov (audio).mp3,Songs/RepeatedPopularChorus/Ariana Grande - pov (audio).wav
The Weeknd,Take My Breath,1,Songs/The Weeknd - Take My Breath (Official Music Video).mp3,Songs/RepeatedPopularChorus/The Weeknd - Take My Breath (Official Music Video).wav
Billie Eilish,Happier Than Ever,1,Songs/Billie Eilish - Happier Than Ever (Official Music Video).mp3,Songs/RepeatedPopularChorus/Billie Eilish - Happier Than Ever (Official Music Video).wav
Post Malone,Circles,1,Songs/Post Malone - Circles.mp3,Songs/RepeatedPopularChorus/Post Malone - Circles.wav
Harry Styles,Adore You,1,Songs/Harry Styles - Adore You (Official Video).mp3,Songs/RepeatedPopularChorus/Harry Styles - Adore You (Official Video).wav
Maroon 5,Memories,1,Songs/Maroon 5 - Memories (Official Video).mp3,Songs/RepeatedPopularChorus/Maroon 5 - Memories (Official Video).wav
Doja Cat,Say So,1,Songs/Doja Cat - Say So (Official Video).mp3,Songs/RepeatedPopularChorus/Doja Cat - Say So (Official Video).wav
Billie Eilish,Everything I Wanted,1,Songs/Billie Eilish - everything i wanted.mp3,Songs/RepeatedPopularChorus/Billie Eilish - everything i wanted.wav
Harry Styles,Watermelon Sugar,1,Songs/Harry Styles - Watermelon Sugar (Official Video).mp3,Songs/RepeatedPopularChorus/Harry Styles - Watermelon Sugar (Official Video).wav
